"Sand Lake Road","Orlando Health","Church Street","Lynx Central","Florida Hospital","Winter Park","Maitland","Altamonte Springs","Longwood","Lake Mary","Sanford","Debary"
6:15 AM,6:22 AM,6:25 AM,6:28 AM,6:34 AM,6:41 AM,6:48 AM,6:53 AM,6:57 AM,7:03 AM,7:10 AM,7:18 AM
6:45 AM,6:52 AM,6:55 AM,6:58 AM,7:04 AM,7:11 AM,7:18 AM,7:23 AM,7:27 AM,7:33 AM,7:40 AM,7:48 AM
7:15 AM,7:22 AM,7:25 AM,7:28 AM,7:34 AM,7:41 AM,7:48 AM,7:53 AM,7:57 AM,8:03 AM,8:10 AM,8:18 AM
7:45 AM,7:52 AM,7:55 AM,7:58 AM,8:04 AM,8:11 AM,8:18 AM,8:23 AM,8:27 AM,8:33 AM,8:39 AM,8:48 AM
8:15 AM,8:22 AM,8:25 AM,8:28 AM,8:34 AM,8:41 AM,8:48 AM,8:53 AM,8:57 AM,9:03 AM,9:10 AM,9:18 AM
8:45 AM,8:52 AM,8:55 AM,8:58 AM,9:04 AM,9:11 AM,9:18 AM,9:23 AM,9:27 AM,9:33 AM,9:40 AM,9:48 AM
9:15 AM,9:22 AM,9:25 AM,9:28 AM,9:34 AM,9:41 AM,9:48 AM,9:53 AM,9:57 AM,10:03 AM,10:10 AM,--
11:15 AM,11:22 AM,11:25 AM,11:28 AM,11:34 AM,11:41 AM,11:48 AM,11:53 AM,11:57 AM,12:03 PM,12:10 PM,12:18 PM
1:15 PM,1:22 PM,1:25 PM,1:28 PM,1:34 PM,1:41 PM,1:48 PM,1:53 PM,1:57 PM,2:03 PM,2:10 PM,2:18 PM
2:15 PM,2:22 PM,2:25 PM,2:28 PM,2:34 PM,2:41 PM,2:48 PM,2:53 PM,2:57 PM,3:03 PM,3:10 PM,3:18 PM
4:15 PM,4:22 PM,4:25 PM,4:28 PM,4:34 PM,4:41 PM,4:48 PM,4:53 PM,4:57 PM,5:03 PM,5:10 PM,5:18 PM
4:45 PM,4:52 PM,4:55 PM,4:58 PM,5:04 PM,5:11 PM,5:18 PM,5:23 PM,5:27 PM,5:33 PM,5:40 PM,5:48 PM
5:15 PM,5:22 PM,5:25 PM,5:28 PM,5:34 PM,5:41 PM,5:48 PM,5:53 PM,5:57 PM,6:03 PM,6:10 PM,6:18 PM
5:45 PM,5:52 PM,5:55 PM,5:58 PM,6:04 PM,6:11 PM,6:18 PM,6:23 PM,6:27 PM,6:33 PM,6:40 PM,6:48 PM
6:15 PM,6:22 PM,6:25 PM,6:28 PM,6:34 PM,6:41 PM,6:48 PM,6:53 PM,6:57 PM,7:03 PM,7:10 PM,7:18 PM
6:45 PM,6:52 PM,6:55 PM,6:58 PM,7:04 PM,7:11 PM,7:18 PM,7:23 PM,7:27 PM,7:33 PM,7:40 PM,7:48 PM
7:30 PM,7:37 PM,7:40 PM,7:43 PM,7:49 PM,7:56 PM,8:03 PM,8:08 PM,8:12 PM,8:18 PM,8:25 PM,8:33 PM
9:15 PM,9:22 PM,9:25 PM,9:28 PM,9:34 PM,9:41 PM,9:48 PM,9:53 PM,9:57 PM,10:03 PM,10:10 PM,10:18 PM
