DeBary,Sanford,Lake Mary,Longwood,Altamonte Springs,Maitland,Winter Park,Florida Hospital,Lynx Central,Church Street,Orlando Health,Sand Lake Road
--,5:06 AM,5:13 AM,5:19 AM,5:23 AM,5:29 AM,5:36 AM,5:43 AM,5:48 AM,5:51 AM,5:54 AM,6:03 AM
5:30 AM,5:36 AM,5:43 AM,5:49 AM,5:53 AM,5:59 AM,6:06 AM,6:13 AM,6:18 AM,6:21 AM,6:24 AM,6:33 AM
6:00 AM,6:06 AM,6:13 AM,6:19 AM,6:23 AM,6:29 AM,6:36 AM,6:43 AM,6:48 AM,6:51 AM,6:54 AM,7:03 AM
6:30 AM,6:36 AM,6:43 AM,6:49 AM,6:53 AM,6:59 AM,7:06 AM,7:13 AM,7:18 AM,7:21 AM,7:24 AM,7:33 AM
7:00 AM,7:06 AM,7:13 AM,7:19 AM,7:23 AM,7:29 AM,7:36 AM,7:43 AM,7:48 AM,7:51 AM,7:54 AM,8:03 AM
7:30 AM,7:36 AM,7:43 AM,7:49 AM,7:53 AM,7:59 AM,8:06 AM,8:13 AM,8:18 AM,8:21 AM,8:24 AM,8:33 AM
8:00 AM,8:06 AM,8:13 AM,8:19 AM,8:23 AM,8:29 AM,8:36 AM,8:43 AM,8:48 AM,8:51 AM,8:54 AM,9:03 AM
10:00 AM,10:06 AM,10:13 AM,10:19 AM,10:23 AM,10:29 AM,10:36 AM,10:43 AM,10:48 AM,10:51 AM,10:54 AM,11:03 AM
12:00 PM,12:06 PM,12:13 PM,12:19 PM,12:23 PM,12:29 PM,12:36 PM,12:43 PM,12:48 PM,12:51 PM,12:54 PM,1:03 PM
1:00 PM,1:06 PM,1:13 PM,1:19 PM,1:23 PM,1:29 PM,1:36 PM,1:43 PM,1:48 PM,1:51 PM,1:54 PM,2:03 PM
3:00 PM,3:06 PM,3:13 PM,3:19 PM,3:23 PM,3:29 PM,3:36 PM,3:43 PM,3:48 PM,3:51 PM,3:54 PM,4:03 PM
3:30 PM,3:36 PM,3:43 PM,3:49 PM,3:53 PM,3:59 PM,4:06 PM,4:13 PM,4:18 PM,4:21 PM,4:24 PM,4:33 PM
4:00 PM,4:06 PM,4:13 PM,4:19 PM,4:23 PM,4:29 PM,4:36 PM,4:43 PM,4:48 PM,4:51 PM,4:54 PM,5:03 PM
4:30 PM,4:36 PM,4:43 PM,4:49 PM,4:53 PM,4:59 PM,5:06 PM,5:13 PM,5:18 PM,5:21 PM,5:24 PM,5:33 PM
5:00 PM,5:06 PM,5:13 PM,5:19 PM,5:23 PM,5:29 PM,5:36 PM,5:43 PM,5:48 PM,5:51 PM,5:54 PM,6:03 PM
5:30 PM,5:36 PM,5:43 PM,5:49 PM,5:53 PM,5:59 PM,6:06 PM,6:13 PM,6:18 PM,6:21 PM,6:24 PM,6:33 PM
6:00 PM,6:06 PM,6:13 PM,6:19 PM,6:23 PM,6:29 PM,6:36 PM,6:43 PM,6:48 PM,6:51 PM,6:54 PM,7:03 PM
8:00 PM,8:06 PM,8:13 PM,8:19 PM,8:23 PM,8:29 PM,8:36 PM,8:43 PM,8:48 PM,8:51 PM,8:54 PM,9:03 PM
